Time	 WildTypeCellMutationState	 ApcOneHitCellMutationState	 ApcTwoHitCellMutationState	 BetaCateninOneHitCellMutationState	 
10	37	0	1	0	
10.8333	39	0	1	0	
11.6667	41	0	1	0	
12.5	43	0	1	0	
13.3333	44	0	1	0	
14.1667	45	0	1	0	
15	45	0	1	0	
15.8333	46	0	1	0	
16.6667	48	0	1	0	
17.5	48	0	1	0	
18.3333	49	0	2	0	
19.1667	50	0	2	0	
20	52	0	2	0	
20.8333	54	0	2	0	
21.6667	56	0	2	0	
22.5	55	0	2	0	
23.3333	59	0	2	0	
24.1667	57	0	2	0	
25	59	0	2	0	
25.8333	63	0	2	0	
26.6667	61	0	2	0	
27.5	63	0	2	0	
28.3333	62	0	2	0	
29.1667	61	0	2	0	
30	58	0	2	0	
30.8333	57	0	2	0	
31.6667	57	0	2	0	
32.5	55	0	3	0	
33.3333	55	0	3	0	
34.1667	56	0	4	0	
35	57	0	4	0	
35.8333	54	0	4	0	
36.6667	53	0	4	0	
37.5	53	0	4	0	
38.3333	54	0	4	0	
39.1667	54	0	4	0	
40	56	0	4	0	
40.8333	61	0	4	0	
41.6667	61	0	4	0	
42.5	59	0	4	0	
43.3333	61	0	4	0	
44.1667	61	0	4	0	
45	59	0	4	0	
45.8333	60	0	4	0	
46.6667	57	0	4	0	
47.5	56	0	4	0	
48.3333	54	0	5	0	
49.1667	54	0	5	0	
50	54	0	8	0	
50.8333	54	0	8	0	
51.6667	52	0	8	0	
52.5	52	0	8	0	
53.3333	51	0	8	0	
54.1667	51	0	8	0	
55	52	0	8	0	
55.8333	54	0	8	0	
56.6667	58	0	8	0	
57.5	58	0	8	0	
58.3333	57	0	8	0	
59.1667	56	0	8	0	
60	56	0	8	0	
60.8333	58	0	8	0	
61.6667	58	0	8	0	
62.5	57	0	9	0	
63.3333	56	0	11	0	
64.1667	56	0	14	0	
65	55	0	16	0	
65.8333	54	0	16	0	
66.6667	57	0	15	0	
67.5	56	0	15	0	
68.3333	55	0	14	0	
69.1667	55	0	14	0	
70	55	0	14	0	
70.8333	54	0	14	0	
71.6667	56	0	14	0	
72.5	59	0	14	0	
